Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-03,84.17501205081606,84.19878788185247,79.62778233912816,80.70751190185547,63726000,0.0,0.0
2020-09-04,79.6916755663375,80.9789260003323,76.17365356452073,78.31527709960938,55850000,0.0,0.0
2020-09-08,75.53126920055102,77.04436739202738,75.11027221808052,75.46192932128906,54032000,0.0,0.0
2020-09-09,76.71500276034612,77.20137193178421,75.53968617083565,76.63229370117188,39242000,0.0,0.0
2020-09-10,76.77840721698225,77.9413371691377,75.28362830526697,75.5832748413086,33024000,0.0,0.0
2020-09-11,75.68729884245194,76.20982310154143,73.94735503103085,75.07363891601562,30706000,0.0,0.0
2020-09-14,75.86062859048022,77.11618292545499,74.54614102868774,74.73038482666016,42660000,0.0,0.0
2020-09-15,75.67440508578143,76.81851683021489,75.38763651665754,76.0324935913086,23042000,0.0,0.0
2020-09-16,76.39703128180564,76.9859252393696,74.8670874705173,74.89185333251953,22128000,0.0,0.0
2020-09-17,73.5902403439566,74.22668600240169,72.43374934092598,73.65116119384766,40008000,0.0,0.0
2020-09-18,73.71358052155679,74.0553298321723,70.90629358164918,71.87061309814453,63056000,0.0,0.0
2020-09-21,70.90627729054565,71.32429660778882,69.47291813290063,70.83297729492188,56908000,0.0,0.0
2020-09-22,71.83247257343257,72.50854213889622,70.80128453974875,72.30299377441406,33950000,0.0,0.0
2020-09-23,71.92012967764403,71.9691626068808,69.47291945647498,69.80525207519531,37726000,0.0,0.0
2020-09-24,69.47292020222153,71.22177395957205,69.44666551695688,70.47240447998047,34552000,0.0,0.0
2020-09-25,70.58087508582601,71.61552428977885,69.7205618241158,71.27477264404297,30326000,0.0,0.0
2020-09-28,72.9057505874798,72.95527475090996,71.63236818722949,72.24552917480469,30784000,0.0,0.0
2020-09-29,72.505572058924,72.90625457931591,72.01473634931796,72.61007690429688,31816000,0.0,0.0
2020-09-30,72.35845086835646,73.60954622399498,72.10189711806734,72.5892562866211,40924000,0.0,0.0
2020-10-01,73.483741176294,74.04886678202264,73.1439720362864,73.69374084472656,32884000,0.0,0.0
2020-10-02,72.29357949447781,73.25443754193107,71.68536859355801,72.09397888183594,31222000,0.0,0.0
2020-10-05,72.44315041789427,73.53525912459374,72.31635858239636,73.44264221191406,21602000,0.0,0.0
2020-10-06,73.0795878999186,73.52633314283509,71.56946004827292,71.86712646484375,26096000,0.0,0.0
2020-10-07,72.27772903034848,72.75617797816042,70.98601965298509,72.2693099975586,36108000,0.0,0.0
2020-10-08,72.58183818176148,73.70019413862819,72.58183818176148,73.47236633300781,26076000,0.0,0.0
2020-10-09,73.9394044750553,74.87995540940231,73.64916705142821,74.81061553955078,32966000,0.0,0.0
2020-10-12,76.17512972135019,78.67236249973703,75.74422496235202,77.49209594726562,55344000,0.0,0.0
2020-10-13,78.10725371718881,78.51091381347847,77.19691752122968,77.61493682861328,39072000,0.0,0.0
2020-10-14,77.98789668241234,78.44603112515772,76.56641781072753,77.43515014648438,33174000,0.0,0.0
2020-10-15,76.49706022466728,77.82938319540656,76.3301533156256,77.04039001464844,31210000,0.0,0.0
2020-10-16,77.35539721644541,78.1419115844437,77.14886643795133,77.64613342285156,34194000,0.0,0.0
2020-10-19,78.05376915654217,78.45000028741373,75.42825518046858,75.77643585205078,29734000,0.0,0.0
2020-10-20,75.4376663929067,77.95025657100902,75.30839568992401,76.82298278808594,41670000,0.0,0.0
2020-10-21,77.75262483298744,79.99578295320819,77.61840399961719,78.55201721191406,60322000,0.0,0.0
2020-10-22,78.5029984594574,79.91060191617186,78.13054313708805,79.57579040527344,30512000,0.0,0.0
2020-10-23,79.99132249101037,80.93583357024468,79.83579712634676,80.8793716430664,30548000,0.0,0.0
2020-10-26,79.98885284156889,80.71097762065797,77.65010749864534,78.46782684326172,35826000,0.0,0.0
2020-10-27,78.69763681929496,79.34497273080397,78.1062640439102,79.19044494628906,25902000,0.0,0.0
2020-10-28,76.7699878111158,76.95819174187838,74.71306085293473,74.82796478271484,45174000,0.0,0.0
2020-10-29,75.13602694613932,78.6882238840547,75.11274990801195,77.11024475097656,55406000,0.0,0.0
2020-10-30,82.58612891076312,83.27358743993122,79.32367098650236,80.04381561279297,99878000,0.0,0.0
2020-11-02,80.41183612953665,82.1304828078754,79.95121524040219,80.45046997070312,44228000,0.0,0.0
2020-11-03,80.76942769311421,82.16811321292346,79.84571468441665,81.50740051269531,31432000,0.0,0.0
2020-11-04,84.47516357940994,87.66729207687226,84.34738170376455,86.46968841552734,71342000,0.0,0.0
2020-11-05,87.68807900889995,88.74651153606514,86.23094410614924,87.29432678222656,39758000,0.0,0.0
2020-11-06,86.74158701698033,87.59150112571243,86.0154946471551,87.15713500976562,28622000,0.0,0.0
2020-11-09,88.95255328835346,89.98819248364472,87.04916430356796,87.24083709716797,53440000,0.0,0.0
