Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-02-07 00:00:00-05:00,36.69689095762724,37.09983545457336,36.409072936979335,37.06146240234375,24500,0.0,0.0,0.0
2025-02-10 00:00:00-05:00,36.15962261562637,36.15962261562637,35.34413773454452,35.4880485534668,15200,0.0,0.0,0.0
2025-02-11 00:00:00-05:00,35.209825934604915,35.52642463959576,34.43271403358371,34.941192626953125,33100,0.0,0.0,0.0
2025-02-12 00:00:00-05:00,35.41129602569177,36.67769808856039,35.01794392525233,36.600948333740234,34300,0.0,0.0,0.0
2025-02-13 00:00:00-05:00,36.73526724054855,37.13821173278779,35.929374596265426,36.01572036743164,30400,0.0,0.0,0.0
2025-02-14 00:00:00-05:00,35.85262146956309,35.85262146956309,34.81647586680514,35.756683349609375,16400,0.0,0.0,0.0
2025-02-18 00:00:00-05:00,35.545615770945204,35.79506074326328,34.35596695772052,34.82606887817383,18500,0.0,0.0,0.0
2025-02-19 00:00:00-05:00,34.212052822676746,34.423121062047336,33.62682082064332,34.39433670043945,19400,0.0,0.0,0.0
2025-02-20 00:00:00-05:00,34.52865072720423,34.68215388336007,33.57884743237476,33.761131286621094,28700,0.0,0.0,0.0
2025-02-21 00:00:00-05:00,34.25043095487967,35.11388498310413,34.058551062006046,35.07551193237305,30200,0.0,0.0,0.0
2025-02-24 00:00:00-05:00,35.104293493056765,35.38251916153102,34.758910409406596,35.03713607788086,22500,0.0,0.0,0.0
2025-02-25 00:00:00-05:00,35.123483427538545,36.68729972222136,34.82606938995936,36.11166000366211,28600,0.0,0.0,0.0
2025-02-26 00:00:00-05:00,36.15003168280825,36.869578485953625,35.91018274842646,36.49541473388672,39900,0.0,0.0,0.0
2025-02-27 00:00:00-05:00,36.01571595060129,36.38028368654531,35.29616916572686,36.20759582519531,27700,0.0,0.0,0.0
2025-02-28 00:00:00-05:00,36.303539507128235,36.74486072459799,35.027541255977475,35.06591796875,23400,0.0,0.0,0.0
2025-03-03 00:00:00-05:00,34.73012568037462,38.107199042711805,34.52865345819816,37.51237106323242,134000,0.0,0.0,0.0
2025-03-04 00:00:00-05:00,38.442987151374346,39.52710536633416,37.109427653404715,38.21273422241211,81300,0.0,0.0,0.0
2025-03-05 00:00:00-05:00,39.31604036962849,40.73594574785143,39.076191413986685,39.38319778442383,31200,0.0,0.0,0.0
2025-03-06 00:00:00-05:00,39.882082267213185,40.352187809555026,38.97065554458601,39.13375473022461,19900,0.0,0.0,0.0
2025-03-07 00:00:00-05:00,38.41420681826272,38.74040152058819,37.493187773980566,37.86735153198242,18300,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,37.88653787000845,38.00166432946596,36.46662901088123,37.291709899902344,18200,0.0,0.0,0.0
2025-03-11 00:00:00-04:00,37.262935681387546,38.27989661959429,36.85039516512098,37.91532516479492,19300,0.0,0.0,0.0
2025-03-12 00:00:00-04:00,37.88654059334565,38.08801282682943,36.95592552467618,37.58912658691406,16300,0.0,0.0,0.0
