Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-07 00:00:00-05:00,410.82388435232116,412.96439718513943,402.5576865372201,404.1852722167969,22886800,0.0,0.0
2025-02-10 00:00:00-05:00,408.0914590052598,409.8176925215145,405.33937124502273,406.6217041015625,20817900,0.0,0.0
2025-02-11 00:00:00-05:00,404.07678288840276,406.88805357704496,403.741373863551,405.8523254394531,18140600,0.0,0.0
2025-02-12 00:00:00-05:00,401.6797299133385,405.17166210079324,398.87830316572246,403.4848937988281,19121700,0.0,0.0
2025-02-13 00:00:00-05:00,401.4726062482461,405.4182829681306,400.8412835235649,404.96453857421875,23891700,0.0,0.0
2025-02-14 00:00:00-05:00,402.25188608897315,403.3566707547541,400.3678218416371,402.8831787109375,22758500,0.0,0.0
2025-02-18 00:00:00-05:00,402.4590402622825,405.0237362453633,400.9794114377888,404.0767822265625,21423100,0.0,0.0
2025-02-19 00:00:00-05:00,402.34067225656025,409.8473079963777,402.11378500109834,409.1370849609375,24114200,0.0,0.0
2025-02-20 00:00:00-05:00,410.4714772753562,414.4448231183109,407.75338500421714,411.3017272949219,23508700,0.83,0.0
2025-02-21 00:00:00-05:00,412.4976421272199,413.1993956224997,403.15730762956775,403.47357177734375,27524800,0.0,0.0
2025-02-24 00:00:00-05:00,403.77011965609864,404.62012670611466,394.6867476536957,399.31243896484375,26443700,0.0,0.0
2025-02-25 00:00:00-05:00,396.44608593506547,397.25657880262406,392.09714469383994,393.283203125,29387400,0.0,0.0
2025-02-26 00:00:00-05:00,393.3919357776839,398.9170718958632,389.6755530638089,395.09197998046875,19619000,0.0,0.0
2025-02-27 00:00:00-05:00,396.61407498406965,401.0322110218146,387.61968592381214,387.9754943847656,21127400,0.0,0.0
2025-02-28 00:00:00-05:00,388.10398215130573,393.01631660620876,382.0846478468725,392.38372802734375,32845700,0.0,0.0
2025-03-03 00:00:00-05:00,394.1925192721913,394.1925192721913,381.67940898205217,383.98236083984375,23007700,0.0,0.0
2025-03-04 00:00:00-05:00,378.9514422192701,388.0249203607145,376.5792952112664,384.1009826660156,29342900,0.0,0.0
2025-03-05 00:00:00-05:00,384.822503579622,397.0094560898268,384.2986543499986,396.3669738769531,23433100,0.0,0.0
2025-03-06 00:00:00-05:00,389.70514985658184,397.48382905920323,388.12370869732325,392.2848815917969,23304600,0.0,0.0
2025-03-07 00:00:00-05:00,387.76795648683793,390.2191619837315,381.0666253730808,388.7464599609375,22034100,0.0,0.0
2025-03-10 00:00:00-04:00,381.3631114017718,381.9166113327009,372.8431337183802,375.7490234375,32840100,0.0,0.0
2025-03-11 00:00:00-04:00,374.6024872406928,381.5212666884101,372.5367409966354,376.0356750488281,30380200,0.0,0.0
2025-03-12 00:00:00-04:00,378.5066423790862,380.75029270527517,374.55305438782165,378.8229064941406,24253600,0.0,0.0
2025-03-13 00:00:00-04:00,378.71423026442886,380.8491715851453,373.07049136146827,374.3751525878906,20473000,0.0,0.0
2025-03-14 00:00:00-04:00,375.3734493768336,385.7022111357248,375.10659301872727,384.05157470703125,19952800,0.0,0.0
2025-03-17 00:00:00-04:00,382.2131473268013,388.1533930243756,381.09625384575537,384.18994140625,22474300,0.0,0.0
2025-03-18 00:00:00-04:00,382.57889637930924,382.8754034622388,376.6781641211092,379.070068359375,19486900,0.0,0.0
