Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-03,13.753715512229732,13.809162909123005,12.808870357194603,12.944878578186035,945128000,0.0,0.0
2020-09-04,12.714383643840854,13.103511288247317,11.641238886565278,12.554009437561035,1463684000,0.0,0.0
2020-09-08,11.670825611564226,12.481900763409474,11.64074015776347,11.848357200622559,795728000,0.0,0.0
2020-09-09,12.3327152920004,12.739744895840701,12.16537815920074,12.64600658416748,736200000,0.0,0.0
2020-09-10,12.918767098090333,12.994354914581717,12.100978478450475,12.244943618774414,698684000,0.0,0.0
2020-09-11,12.417752852588826,12.583846512984273,11.831202602456209,12.098494529724121,636928000,0.0,0.0
2020-09-14,13.010023410133604,13.242752993061371,12.562713786469418,12.80240535736084,1201744000,0.0,0.0
2020-09-15,13.207943671790437,13.226592125709193,12.75814800928881,12.920512199401855,727556000,0.0,0.0
2020-09-16,12.88694277948844,13.02170750232912,12.445849671255177,12.446595191955566,556384000,0.0,0.0
2020-09-17,12.066420242616426,12.521438302822826,11.969449429392025,12.395873069763184,792512000,0.0,0.0
2020-09-18,12.525415950128137,12.563955387993257,11.923699152816207,12.1231107711792,698460000,0.0,0.0
2020-09-21,11.86029133531131,12.454548957933197,11.839902392739468,12.44932746887207,721044000,0.0,0.0
2020-09-22,12.506766345855947,12.579370193536365,12.089543202829288,12.569175720214844,646452000,0.0,0.0
2020-09-23,12.507262859802452,12.657941494631,12.013706388530835,12.057964324951172,647012000,0.0,0.0
2020-09-24,12.006742465999842,12.50129383353209,11.948808124243987,12.28099536895752,731240000,0.0,0.0
2020-09-25,12.379956536780353,12.813590547232938,12.179301487201863,12.803893089294434,588016000,0.0,0.0
2020-09-28,12.969492081929529,12.980930038377432,12.680817182936027,12.96427059173584,573808000,0.0,0.0
2020-09-29,12.867298209631182,13.369806586512889,12.863071696016648,13.153984069824219,621460000,0.0,0.0
2020-09-30,13.086106534449147,13.548583556057018,13.078896040511102,13.457082748413086,689184000,0.0,0.0
2020-10-01,13.683346280612378,13.688069807917765,13.38770848426377,13.540624618530273,525004000,0.0,0.0
2020-10-02,13.153236344951289,13.446137673050195,12.980179801127097,12.991369247436523,552496000,0.0,0.0
2020-10-05,13.164180603468921,13.570215266382487,13.151002149843272,13.568474769592285,479820000,0.0,0.0
2020-10-06,13.754957214450531,14.065264550133465,13.590852555868134,13.661964416503906,784420000,0.0,0.0
2020-10-07,13.923785773213117,14.042637510880455,13.788274589231673,13.888229370117188,418084000,0.0,0.0
2020-10-08,13.998628455737617,14.008077409272373,13.683349068361048,13.763660430908203,378900000,0.0,0.0
2020-10-09,13.692298713449562,13.749238090470126,13.586625429092514,13.688071250915527,346892000,0.0,0.0
2020-10-12,13.913591020870141,14.269151250700197,13.837009167737346,14.148807525634766,434744000,0.0,0.0
2020-10-13,14.218926882877872,14.270644774539951,13.942683949168318,14.170938491821289,344604000,0.0,0.0
2020-10-14,14.212957463317636,14.264923856549403,13.884251150985698,14.018767356872559,276100000,0.0,0.0
2020-10-15,13.7358113145266,13.929752918930133,13.693044417342875,13.894197463989258,267224000,0.0,0.0
2020-10-16,13.960585020449875,14.04487533293222,13.717660049634887,13.736557006835938,242392000,0.0,0.0
2020-10-19,13.82756066882384,13.90762351790688,13.334003224238439,13.42451000213623,298068000,0.0,0.0
2020-10-20,13.50979116200591,13.724868132404456,13.433706338043972,13.571455001831055,229212000,0.0,0.0
2020-10-21,13.55106984318131,13.716666494155783,13.404370150058263,13.451363563537598,219596000,0.0,0.0
2020-10-22,13.449125399181334,13.53789073143853,13.159952541281239,13.288501739501953,290480000,0.0,0.0
2020-10-23,13.37701607509531,13.519489220485832,13.21912791756246,13.516505241394043,233484000,0.0,0.0
2020-10-26,13.35414524503633,13.618453219253427,12.967753030635334,13.069945335388184,336896000,0.0,0.0
2020-10-27,13.233803101135873,13.369065812314869,13.119924317979558,13.324061393737793,250520000,0.0,0.0
2020-10-28,13.126385854290977,13.188049707227659,12.540582096891148,12.558484077453613,376520000,0.0,0.0
2020-10-29,12.768838326092173,13.121166120183615,12.680818504298344,12.95333194732666,320080000,0.0,0.0
2020-10-30,12.78027345863708,12.866303309085502,12.23325768967022,12.465988159179688,416820000,0.0,0.0
2020-11-02,12.589068316716522,12.767096951899822,12.32774434236848,12.512486457824707,299652000,0.0,0.0
2020-11-03,12.639539305190821,13.03388739834692,12.534363056860535,12.948851585388184,272900000,0.0,0.0
2020-11-04,13.316599172080933,13.752471747994806,13.264632773822745,13.719401359558105,410228000,0.0,0.0
2020-11-05,14.085653088319836,14.261194749998864,13.915083461408287,14.083166122436523,319028000,0.0,0.0
2020-11-06,14.03318712124654,14.509588050674013,13.819603063155224,14.482983589172363,383348000,0.0,0.0
2020-11-09,14.47353602436871,14.611781731679114,13.536896506652354,13.556787490844727,582976000,0.0,0.0
2020-11-10,13.532668624695363,13.532668624695363,12.559727213621446,12.700708389282227,644068000,0.0,0.0
2020-11-11,12.982919181366613,13.362100862954051,12.877991414086402,13.345192909240723,404744000,0.0,0.0
2020-11-12,13.405861285173073,13.691303689939454,13.243745638126441,13.383731842041016,365812000,0.0,0.0
2020-11-13,13.553309489080577,13.594584404877294,12.98839156523001,13.224851608276367,346312000,0.0,0.0
2020-11-16,13.101026610225086,13.575438677372077,13.084616616095657,13.441917419433594,413776000,0.0,0.0
2020-11-17,13.478960898278817,13.522473311365049,13.231560936588995,13.349417686462402,312028000,0.0,0.0
2020-11-18,13.392185521013086,13.531923214939193,13.113456602294555,13.355883598327637,510924000,0.0,0.0
2020-11-19,13.14105832367257,13.414317293026356,13.028920049729892,13.367323875427246,565936000,0.0,0.0
2020-11-20,13.380998788450635,13.421278723505878,12.994108622693009,13.016736030578613,341088000,0.0,0.0
2020-11-23,13.099783135245094,13.30988624770573,12.944877961621113,13.068702697753906,361356000,0.0,0.0
2020-11-24,13.071187820752932,13.090581792368083,12.815085336874446,12.88744068145752,346500000,0.0,0.0
2020-11-25,12.961785995769935,13.19749954950545,12.949354010397753,13.162938117980957,259916000,0.0,0.0
2020-11-27,13.302426146106399,13.334750064003929,13.099035582696706,13.189292907714844,167276000,0.0,0.0
2020-11-30,13.193022390006243,13.339722070023917,12.901860540365371,13.328781127929688,286952000,0.0,0.0
2020-12-01,13.41903802202874,13.455339940878662,13.156469666121708,13.317342758178711,296948000,0.0,0.0
2020-12-02,13.278056936052282,13.599304211301206,13.162437699845077,13.471004486083984,283360000,0.0,0.0
2020-12-03,13.517766430386201,13.589894576674254,13.260593943208093,13.327249526977539,199520000,0.004,0.0
2020-12-04,13.379479997427541,13.490408499250023,13.320037037924799,13.488667488098145,202244000,0.0,0.0
2020-12-07,13.531443212803179,13.660776120123055,13.430713167655274,13.536914825439453,223244000,0.0,0.0
2020-12-08,13.515278179379305,13.528957686598924,13.213335648092489,13.281484603881836,271920000,0.0,0.0
2020-12-09,13.232237965404359,13.34515509436293,12.802206372644868,12.864385604858398,401300000,0.0,0.0
2020-12-10,12.802954326775467,13.00167911942457,12.783553675745933,12.90567398071289,207764000,0.0,0.0
2020-12-11,12.900698238186449,12.953178094559908,12.757188653902821,12.946462631225586,209264000,0.0,0.0
2020-12-14,13.02082636932964,13.320032555199028,13.010380305933886,13.240443229675293,270156000,0.0,0.0
2020-12-15,13.370772848841048,13.394898420852309,13.119072012231975,13.291930198669434,193016000,0.0,0.0
2020-12-16,13.353611291227617,13.36828606791019,13.144689037378825,13.174535751342773,223116000,0.0,0.0
2020-12-17,13.2981479389699,13.310833124873806,13.110864499454864,13.27277946472168,231384000,0.0,0.0
2020-12-18,13.310334366601626,13.336200948982984,13.003418348495277,13.20388412475586,342064000,0.0,0.0
2020-12-21,13.007647270428471,13.301381917619228,12.900947489997865,13.263825416564941,302332000,0.0,0.0
2020-12-22,13.25089584873851,13.268803123767826,12.987006904143886,13.210105895996094,185580000,0.0,0.0
2020-12-23,13.187965472083052,13.20686801104678,12.938254232061905,12.942481994628906,179144000,0.0,0.0
2020-12-24,12.970336813485524,13.065098078701942,12.87234305599769,12.9270601272583,97884000,0.0,0.0
2020-12-28,12.995458098210715,12.995458098210715,12.697744316384448,12.833791732788086,212564000,0.0,0.0
2020-12-29,12.858665667551723,13.005408696448747,12.776340043671759,12.876821517944336,170372000,0.0,0.0
2020-12-30,12.923578131372935,13.1459312845116,12.830558825412934,13.078280448913574,225396000,0.0,0.0
2020-12-31,13.069080738298597,13.083505986905843,12.84871713388404,12.987998962402344,192424000,0.0,0.0
2021-01-04,13.03699376973847,13.582430131628756,12.895970952732675,13.046195983886719,560640000,0.0,0.0
2021-01-05,13.032515008791458,13.374500709510423,13.019830774635874,13.335949897766113,322760000,0.0,0.0
2021-01-06,13.154638288108194,13.177022849780169,12.521405575778882,12.549758911132812,580424000,0.0,0.0
2021-01-07,12.900946780331147,13.309091919233424,12.820363118117218,13.275514602661133,461480000,0.0,0.0
2021-01-08,13.293921024459769,13.352120129783836,12.975065526063036,13.208610534667969,292528000,0.0,0.0
2021-01-11,13.349881280512768,13.889348941876813,13.293920349716162,13.551590919494629,518344000,0.0,0.0
2021-01-12,13.681917255790076,13.683907795701348,13.276509362154492,13.415541648864746,291476000,0.0,0.0
2021-01-13,13.420765571709692,13.555072944184918,13.316304914526613,13.462301254272461,210028000,0.0,0.0
2021-01-14,13.505329377959594,13.529952111631886,13.112854274727429,13.132502555847168,283120000,0.0,0.0
