utc_timestamp,portfolio_value,exposure,trades_today,daily_return,max_portfolio_exposure,max_position_size,max_trades_per_day,daily_loss_limit,paper_trading_mode
2026-08-13T03:47:59.855402+00:00,492.17,0.2635,0,0.003446,0.3,0.2,3,0.02,True
2026-08-13T14:51:53.059002+00:00,491.5,0.2625,0,-0.001219,0.3,0.2,3,0.02,True
2026-08-14T14:45:40.177565+00:00,491.87,0.3639,0,0.002201,0.3,0.2,3,0.02,True
2026-08-17T14:21:12.575708+00:00,493.8,0.3664,0,0.002660,0.3,0.2,3,0.02,True
2026-08-18T14:26:23.583812+00:00,493.09,0.3655,0,0.000954,0.3,0.2,3,0.02,True
2026-08-19T14:26:13.040325+00:00,493.09,0.3655,0,-0.000709,0.3,0.2,3,0.02,True
2026-08-20T14:29:00.426203+00:00,492.04,0.3641,0,0.001017,0.3,0.2,3,0.02,True
2026-08-21T14:27:36.371400+00:00,491.25,0.3631,0,0.002387,0.3,0.2,3,0.02,True
2026-08-24T14:34:52.400449+00:00,491.2,0.3630,0,0.002347,0.3,0.2,3,0.02,True
2026-08-25T14:37:43.171414+00:00,488.6,0.3597,0,-0.003488,0.3,0.2,3,0.02,True
2026-08-26T14:38:08.136580+00:00,487.97,0.3588,0,-0.000041,0.3,0.2,3,0.02,True
